imdbID,Title,Year,Rating10,Review,SafeForParents,ForKids
tt0056751,Doctor Who,1963,,,True,True
tt0436992,Doctor Who,2005,10.0,,True,True
tt4834206,A Series of Unfortunate Events,2017,,,True,True
tt1843230,Once Upon a Time,2011,,,True,True
tt0108778,Friends,1994,,,False,False
tt0460649,How I Met Your Mother,2005,,,False,False
tt0279600,Smallville,2001,,,True,True
tt1305826,Adventure Time,2010,,,True,True
tt6048644,White Rabbit Project,2016,,,True,True
tt0903747,Breaking Bad,2008,,,False,False
tt0386676,The Office (US),2005,,,True,False
tt0417299,Avatar: The Last Airbender,2005,,,True,True
tt1695360,The Legend of Korra,2012,,,True,True
tt0944947,Game of Thrones,2011,,,False,False
tt0898266,The Big Bang Theory,2007,,,True,False
tt0411008,Lost,2004,,,True,False
tt7366338,Chernobyl,2019,,,False,False
tt1865718,Gravity Falls,2012,,,True,True
tt0197139,O Auto da Compadecida,1999,,,True,True
tt0877057,Death Note,2006,,,False,False
tt1830617,Grimm,2011,,,True,False
tt1355642,Fullmetal Alchemist: Brotherhood,2009,,,False,False
tt0421357,Fullmetal Alchemist,2003,,,False,False
tt2431438,Sense8,2015,,,False,False
tt9139220,Dracula,2020,,,False,False
tt1837492,13 Reasons Why,2017,,,False,False
tt0112159,Neon Genesis Evangelion,1995,,,False,False
tt0760437,Ben 10,2005,,,True,True
tt1033241,Ben 10: Alien Force,2008,,,True,True
tt1327701,Ben 10: Ultimate Alien,2010,,,True,True
tt2293002,Ben 10: Omniverse,2012,,,True,True
tt0294196,Sítio do Picapau Amarelo,2001,,,True,True
tt3718778,Over the Garden Wall,2014,,,True,True
tt0138972,K9 and Company,1981,,,False,False
tt0862620,The Sarah Jane Adventures,2007,,,True,True
tt9140560,WandaVision,2021,,,True,False
tt0458290,Star Wars: The Clone Wars,2008,,,True,True
tt5079788,Class,2016,,,False,False
tt9140342,It's a Sin,2021,,,False,False
tt2930604,Star Wars Rebels,2014,,,True,True
tt0485301,Torchwood,2006,,,False,False
tt5753856,Dark,2017,,,False,False
tt4955642,The Good Place,2016,,,True,False
tt3358020,Parasyte: The Maxim,2014,,,False,False
tt1710308,Regular Show,2010,,,True,True
tt2249364,Broadchurch,2013,,,True,False
